,댓글,혐오여부
864,"맞는말이노. 햇님 생각해보면 딱 답이 나온다. 햇님보고 6소통이 부족하다9, ^친화력^부족하다고 정치뽀이들이 앵나 자들거리지 않았노. 지도자가 지깟것들이랑 친목따위는 왜 쳐하노? 지들 뜻대로 좆스플레인 하겠다는게 햇님에겐 씨알도 안먹히니까 6소통9 안한다고 부랄쳐떨었는데 원래 지도자는 뚝심있게 외길 걷는거노. ",
865,맞노 요즘 그걸 확실히 느끼노,
866,주위에 보면 확실히 혼자서도 마이웨이 잘하는 이들이 고학력일 확률이 높다고 느끼노,
867,놈딱 맞는 말이노 어떻게 개돼지들이랑 어깨를 나란히 할 수 있겠노,
868,맞노 혼자서 행복할 수 없는 사람은 다른 사람을 만나도 행복할 수 없노 타인에 의해 일시적으로 채워지는 행복은 진정한 행복이 아니다 이기야,
869,통찰력 봊ㅅㅌㅊ다이기야 개돼지들이 왜 부랄발광하는지 알았노 ,
870,맞노 애초에 개돼지에게 뭔가 바란적도 없었지만 인간관계 정리하고나니 내 에너지를 온전히 나만을 위해 효율적으로 쓸수있게 됐노,
871,관잦이 설치는 거 보니 정곡을 찔렀나보노 껄ㄲㄹ,
872,"오늘따라 개돼지생태에대해 통찰력 봋ㅅㅌㅊ 인 글 많이 나와서 좋노
도저히 개돼지가 이해가 안갔는데 많이 깨닫노이기 ㅋㅋㅋㅋㅋㅋ",
873,아이큐 높을수록 혼자 잘지낸다는 연구결과있노,
874,받고 좆국이면 더하다 이니야. 허벌챙롬 부랄딸랑이는 소리 내듯 옴옴 해줘야 6사교적이시네요9 소리 듣노. ,
875,어릴때부터 어렴풋짐작은 했었노 역시 난년이였노,
876,역시 날때부터 웜퇘지가 될 운명이었노 ㅋㅋㅋㅋㅋㅋ 개돼지들이랑 어울리는거 좆나 피곤하노,
877,맞노 자댕이들 다 혼자 못다니노 후장 안팔릴까봐 늘 전전긍긍해하노,
878,앱창 맞노 똑똑보지의 길은 마이웨이노.,
879,통찰력 오졌다이기야 개머지들한테 얻을 게 없으니 감정 낭비하기 싫어서 혼자다니게 되노,
880,개돼지랑 어울리면 언제 자기할일하노 개돼지는 절대 인생에 도움이 안된다 이기,
881,개돼지는 울타리안에서 사육당하길 원하노 괜히 개돼지라 칭하는게 아니다이기야,
882,"892 봊나 공감하노
원하는 걸 스스로 할 수 있으면 주변에 사람 없어도 아쉽지 않다 이기야",
883,난 멍청해서 아직 배울 게 많은데도 혼자 있는 걸 더 좋아하노 나 같은 년도 있단 뜻이다 이기 멍청한 건 배우면 되노,
884,"다 맞노 중급식 때 산간학교 고급식 때 한별단 학식 때 동아리
뭐라도 들어야 된다는 개돼지식 세뇌에 줏대없이 들었던거 낭비도 그런 낭비가 없노 인생짧다 이기 남들한다고 무작정 다 따라하지 말라이기
하고 싶은거만 하고 살기도 바쁘다 이기
",
885,크 이 글 보고나니 혼자서도 잘 하는 내가 더욱 멋지노,
886,맞노 글쓴년 통찰력에 옆집 자댕이를 푹 찌른다 이기야,
887,맞는말이노 통찰력 ㅂㅅㅌㅊ다 이기야,
888,진짜 어릴때부터 느낀거다 왜 사람들과 섞여야하는지 군무 모르겟더노,
889,통찰력 ㅂㅅㅌㅊ 글엔 워추 주노. 이 말이 딱 맞노. 개머지들과 쓸데없는 이야기 할 시간에 멍하니 있는게 6969배는 더 이득이노 ,
890,ㄹㅇ 요즘들어 많이느끼노 친구랍시고 만난 개돼지들이랑 입터는 것보다 나혼자 사색하는게 몇배는 재미있더노,
891,똑똑함=개돼지들이 존나 귀찮게 굴고 구걸함=>에너지고갈되고 경계심 흑좆마냥 늘어나노,
892,내 에너지 나한테쓰는게 정말 효율적이노 흉자들에게 시간쓸 여유없이 공부하느라 일하느라 바쁘다이기야,
893,"맞는 말이노 인간이 살아가면서 다른 인간들과 충돌이 있을 수밖에 없는데 6원만한 분위기9를 위해 할 말 못하고 참고 넘어가다보면 결국 물들어서 개머지들처럼 생각하고 행동하게 되어있노. 야망보지들, ㅂㅅㅌㅊ 사람들과 의견을 교류하는 건 자기성장에 도움이 되지만 아직까지는 개머지들이 온갖지천에 널려있으니 아니다 싶으면 다 끊어버리는게 이득이노",
894,통찰력 오졌다이기야,
895,한때는 사교성 친화력 갑으로 밀고다녔는데 요즘은 왜 혼자가 편한가 생각해보니 딱 이거였노,
896,"혼자서 내 시간을 갖는 것, 이것이 인생의 참기쁨 아니겠노.",
897,진짜 인간관계만큼 보잘것 없는게 없다 웜년되고 혼자 있는게 익숙해지고 삶의 질 올라가고 나를 위한 시간이 많아졌노,
898,자기가 필요한 걸 6 안주고 혼자만 가지려는 9 사람으로 보여서 그렇게 후려쳤던거노 개돼지들하곤 엮이고싶지않노,
899,정말 맞는 말인것같노 개돼지들 술처먹으러 다닐때 혼자 도서관에 앉아서 앵나게 공부해서 얻은게 성적이다이기야. 쪽팔리게 뒷담이나 하던 년들도 시험기간만 되면 다 공부잘하는년한테 붙는걸 경험했노. 빌붙는 ^놈^들 다 버리고 정상으로 혼자 가는게 맞다이니야.,
900,맞노....내 이야기 같노.. 지금 그렇다 필요한거 다 있고 능력갖추니 못생긴 한남은 눈에 차지도 않아서 치근덕대는 한남들 볼때마다 똥씹은 표정으로 부랄을 걷어차고 있다 이기,
901,https://tv.naver.com/v/3884098 안희정 1심 무죄때문에 김용필의원이 존나 깐다,
902,난 옛날엔 혼자있기 좋아했는데 요즘은 혼자있으면 심심하노 이건 왜이런거노?,
903,봊나 ㅇㅈ이노 한남들 허벌 후장처럼 인간관계 넓히고 집착하는거 좆나 쓸모없다 이기야,
904,6969 동의한다이기야노. 분석력 보지답노.,
905,맞는말이노 개돼지랑 말이 안통하노 ,
906,그래서 우리는 외로움을 두려워하면 안 된다 이기 웜중에 막 아련하고 슬프고 낭만적인 사랑 못 버린 웜 있을거라 생각하노 이제 버려야 되노,
907,"중급식 고급식때 사교성 후려치기 당했건만 지들이 개돼지였다이기야
놈딱 맞는말이라 클리 탁 치노",
908,맞노,
909,여자인 경우는 나는 조금 다르다고 보노. 좆국 여자들은 모부때문에 어릴때부터 애교를 포함한 사교적 언사가 강요되고 그건 몸에 습관처럼 남아있게 되노. 내가 해당된다 싶은년들 지금부터라도 당장 사람쳐내고 니 능력으로 홀로 서라. 니 주위 사람들 한남좆도 도움 안되노.,
910,확실히 느껴지노 ,
911,통찰력 ㅂㅅㅌㅊ노 ,
912,지랄하노 똑똑한 사람들은 주변 사람들 잘 이용해먹는다 이기야 니 대가리로 합리화 시킨 정보를 다른 웜련들한테 전파하지 마라 한남같이 행동하노 이기 ㅋ,
913,난 내 사교성 없음이 좆같은 단점이었노 근데 글 읽으니까 수긍되면서 기분 놈딱 좋아지노,
914,글 다 받노 개돼지나 흉자와 ^친구^할 필요 없다이기,
915,왕관을 쓰는자는 단한명이노 ,
916,맞음. 레알 흉자들은 애초에 대갈수준이 텅텅임,
917,맞는 말이노. 능력 있으면 개돼지들은 알아서 들러붙는다 이기야.,
918,개돼지내에 질식을 안할수가 없노 똑똑한년의 외로움은 필연적이노,
919,맞노ㅋㅋㅋㅋㅋ 대학생활에서고 능력 좆나 없는 새끼들이 여기저기 붙어먹으면서 기생하더노. 혼자 밥 먹을줄도 몰라서 벌벌 떠노. ,
920,와 고맙노,
921,어릴때부터 혼자있길 좋아했는데 모부들이 그럴때마다 큰일이라도 난듯 호들갑떨며 6외향적9으로 되라고 온갖 개돼지 캠프와 자릉내나는 집단에 던져넣었노 나는 당연히 혐오스러운 개돼지들 하하호호 개성죽이기 눈치기르기 프로그램에 따르지 않고 다 칼로 푹찍하고 피묻은 손발로 집에 들어오곤 했노 중고급식때는 사회의 꾸준한 가스라이팅에 무리에 어쩔 수 없이 들어가서 노는데 놈딱 괴롭고 혐오스러웠노 광광 ,
922,나처럼 고귀한 성품에 높은 지능을 가진 보지는 목에 칼이 들어와도 개돼지들 이용하면 이용했지 어울리지는 못하노 개돼지들도 본능적으로 자신보다 수준높은 인간을 알아봐서 흑좆나 질투하거나 경배하노 ,
923,맞노 이기,
924,맞노 정리 고맙다 이기,
925,맞노이기야 혼자있으면 잡생각많아지는거만 고치면 될거같노 나는,
926,나도 이전에는 내 친구들이 최고고 어딜가든 친구들은 필요하고 이 지랄 했는데 지식이 깊고 넓어지고 비전이 생길수록 친구고 뭐고 걍 거리 두게 되더라노... 내가 자신 있으면 사교성이고 인맥이고 나발이고 다 필요없다 이기,
927,인간관계 내세우는 개돼지가 제일 우스워보이노,
928,워추하고간다이기 통찰력 봊되노!,
929,왕은 고독한 법이노. 대학와서 그 느낌을 절실히 느낀다 이기. 탈오타쿠해서 더 그렇다. 덕질이 사람을 개돼지로 만든다는 근거이기도 하노. 다시는 돌아가지 않을거노. 바싹 공부한다 이기야.,
930,통찰력 ㅂㅅㅌㅊ노. 개돼지들은 이런 글 보며 정신승리 운운이나 하겠노.,
931,사람과 개돼지는 섞일 수 없노,
932,내가 올해들어 인간관계에 집착했던 이유가 이거였던 것 같아 반성하노. 사람 만날 시간에 내 실력 길러야겠노. 좋은 글 고맙다이니야.,
933,내가 이상한게아니라 남들이 너무 타인에게 기대서 사는거였노 개돼지문화에 익숙해져서 매일매일 누군가와 함께하는게 ㅅㅌㅊ인생인줄알앗노 하던대로 미련없이 능력 계속 키워야겠노,
934,맞노 나도 개머지들이랑 좆목질하는거 존나 싫어하고 나 혼자 할 수 있다고 생각하는 년이노. 인간관계도 노무 깊으면 지친다 이기야 적당히 먹버해서 능력 키울거노,
935,개돼지들은 스스로 자기 처신도못해서 혼자 있는 걸 두려워하노,
936,맞말이노 어렸을 때부터 친구 없고 지만 생각한다고 후려치기 앵나 당했노. 개머지들한테 굽신 거리면서 사회생활하고 싶지 않아서 안 하는 것 뿐인데 사회생활 못 하는 년이라고 또 후려치기 하더노 개머지는 노답이노,
937,머리가 좋으면 남에게 의존성이 떨어지지만 경우에 따라 이상한놈은 거르는 필터를 장착하고 나머지에겐 친절한게 똑똑한년이다 싶노.,
938,인간은 원래 혼자사는 거노 개돼지같이 부대끼며 사는 건 수준이 떨어지노,
939,혐애 버리면 하고싶은 모든 일들 다 할 수 있더노,
940,인간관계 재기했는데 그시간에 공부힘줘서 커리어 봊나쌓였노. ,
941,맞다이기야 개돼지들이랑은 답답해서 같이 못있노,
942,이거 봊나 인정하노 나년 초딩때도 시내에 혼자가고 혼자 다니는거 좋아했는데 다른 애들은 나 이해못하면서 같이 다니자는데 나는 걸거치고 불편하더노; 뭐든 혼자서 잘 해서 그랬던거같노 걸걸,
943,"개머지들이랑 말 섞기싫어서 필요한 말만 한다이기. 혼자 책읽고 사색하는
걸 즐기노",
944,맞노 요즘 그걸 확실히 느끼노,
945,맞노. 앱티엠이 고장나서 몇개월간 서비스업 알바를 한 적 있는데 손님 잡아두려고 온갖 미소 환대 갖은 부랄떠는게 고통스러웠노. 내가 왜 그래야 되나 싶었노. 생각해보니 나는 뭘 얻으려고 남에게 빌붙었던 적이 없었노. 나는 어느 그룹에서나 능력 봊ㅅㅌㅊ였고 내가 원하는 건 나 스스로 얻어낼 수 있었으니. 혼자 있는게 놈딱 편했고 지금도 그렇노. ,
946,봊을 탁치고 가노 이기,
947,맞노. 좆목질은 내 시간 빼앗기는거라 안하노,
948,스크랩했노,
949,ㅋㅋㅋㅋ 클리 탁치고 가노,
950,역시 보지대장부답게 통찰력 ㅂㅅㅌㅊ다 이기. 인간은 누구나 외롭지만 특히 선구자들은 더 외로울수밖에 없다. 개돼지마냥 매운거처먹거나 하지 않고 사회를 정면으로 보는데다가 그걸 말해봤자 알아주는 이가 없기 때문이다. ,
951,맞노 나도 개돼지때는 혼자있는거 싫어한다고생각했는데 각성하고 혼자있는게 놈딱 좋더노,
952,와~~ 완전공감하노,
953,어차피 인생은 원래 혼자 아니노? 괜히 개돼지들이랑 말섞을 필요 없노,
954,내 말 같노. 개돼지 우리에선 좆만큼도있기 싫어서 일부러 말 걸지 못 하게 별 짓을 다했었노. 그래서 개돼지사이에선 말을 안하는 놈 이라고 소문나서 자지놈들 나한테 말 안건다이기,
955,내 얘기노 이기. 대학 들어가서 친목질 안한다고 후려치기 당하면서 억지로 술마시러 나가고 그랬는데 그 시절이 돌이켜보면 인생에서 제일 좆같았노. 정신차리고 혼자 지내니까 어린 시절 내모습도 보이고 노무 좋더노.,
956,맞노,
957,"나도 혼자 밥 못먹는것들이 한심했노
웜은 지능순이다",
958,맞노 가장 중요한 건 무력감보 안 되는 거노 좆국 때문에 안 힘든 적 있었노? 없었다 늘 고통 받았고 스트레스 때문에 빨간약 앵나게 주입하고 웜년 된 거 아니노? 보지에 힘주고 다리에 힘줘라 버티고 가슴을 피고 보지대장 답게 더 분노하고 외치면 되는거노 지금까지 그래왔듯 두드리고 망치질하면 되는거노,
959,고맙노 단기간에 해결될 상황이 아닌걸 알면서도 항상 화가 나있었노 장기릴레이를 위해 릴렉스하겠다이니,
960,그러지 않으려고 해도 이번주에 일이 많아서 마음이 심란했던 찰나였노. 이태영 대장님 보지에 새기고 가노. 이년아 니 말이 맞노. 자트릭스는 견고하노. 그렇기때문에 단기적으로 보고 행동하는건 마라톤 처음부터 전력질주 하는 꼴이노. 마라톤 전력질주하면 어떻게되노? 금세 지쳐서 쓰러지노. 우리는 멀리 길게 봐야하노. 그리고 니가 말하는 감정 소모에 대해서도 공감하노. 감정 소모는 우리의 기력을 많이 소비하면서 정신까지 갉아먹노. 감정소모 줄이는것도 노무현 중요하노,
961,"저런 대장님들이 첫 물결를 일으킨거노. 첫 물결이 미약하여 땅에 닿지 못할 수도있노. 하지만 두번째 물결, 세번째 물결, 그 다음 물결들이 울려 파도가 되고 어느 순간 파도들이 땅에 닿고 그 땅을 조져 동굴이고 기둥이고 만드는 것 아니겠노. 지금의 페미니즘 논의 정말 활발하고 점점 발전해나가고 있노. n년전과 지금 정말 다르노. 우리는 세상을 바꿀 보지들이노. 힘줘라 이기야.",
962,머장x 대장이라고 똑바로 불러라 이기,
963,"조팔. 번아웃 올 뻔한거 팩트노. 보지 잡고 달리는것도 놈딱 중요하지만 지나치지 않도록, 자아의탁하지 않도록 잠깐 눈 좀 감고 쉬어야겠노. 물론 보력은 계속 나가고 시위도 나갈거지만 말이노. 이게 다 남통령 문재앙때문이다이기.",
